Product ID,Product Name,Product Group ID,Price,Stock Quantity,Supplier,Warranty Period,Manufacturing Date,Expiry Date,Weight,Dimensions
1,PC D,1,505$,90,Supplier Z,2 years,3/21/2022,10/20/2024,300g,6x5x2 inch
2,Smartwatch Z,2,52$,90,Supplier A,3 years,4/14/2022,11/27/2024,300g,6x5x2 inch
3,PC D,3,99$,200,Supplier X,6 months,5/19/2022,2/16/2025,2.3kg,5x2x0.3 inch
4,Accessory F,4,310$,30,Supplier M,6 months,8/22/2022,7/13/2024,100g,8x5x0.5 inch
5,PC D,5,212$,40,Supplier H,12 months,9/27/2022,3/16/2025,500g,6x5x2 inch
6,Tablet B,6,39$,30,Supplier F,12 months,4/20/2022,7/7/2024,2kg,8x5x0.5 inch
7,Smartwatch Z,7,100$,60,Supplier N,6 months,12/2/2022,6/6/2024,300g,8x5x0.5 inch
8,Watch G,8,531$,90,Supplier E,1 year,5/20/2022,1/20/2025,300g,8x5x0.5 inch
9,Accessory F,9,60$,40,Supplier I,1 year,10/31/2022,9/17/2024,650g,13x9x0.7 inch
10,Accessory F,10,505$,200,Supplier B,12 months,5/25/2022,5/6/2025,100g,6x5x2 inch
11,SIM Y,11,531$,40,Supplier Y,12 months,6/13/2022,11/25/2024,2kg,13x9x0.7 inch
12,Laptop C,12,52$,30,Supplier Z,1 year,4/17/2022,7/15/2024,100g,5x2x0.3 inch
13,SIM Y,13,10$,70,Supplier F,6 months,8/14/2022,8/13/2024,650g,6x5x2 inch
14,Headphones E,14,56$,50,Supplier K,6 months,3/4/2022,8/4/2024,2.3kg,2x2x0.5 inch
15,Watch G,15,100$,150,Supplier Z,12 months,10/18/2022,5/29/2024,2.3kg,2x2x0.5 inch
16,Smartphone A,16,505$,150,Supplier B,12 months,10/3/2022,3/20/2025,300g,8x5x0.5 inch
17,SIM Y,17,505$,70,Supplier F,12 months,4/5/2022,2/21/2025,200g,13x9x0.7 inch
18,Watch G,18,70$,60,Supplier O,18 months,3/23/2022,10/13/2024,300g,6x5x2 inch
19,Laptop C,19,29$,100,Supplier B,18 months,9/3/2022,4/29/2025,1.5kg,13x9x0.7 inch
20,SIM Y,20,44$,60,Supplier K,6 months,9/17/2022,12/9/2024,1.5kg,2x2x0.5 inch
21,PC D,21,29$,100,Supplier X,1 year,4/22/2022,1/28/2025,1.5kg,13x9x0.7 inch
22,SIM Y,22,39$,90,Supplier C,2 years,7/1/2022,12/27/2024,650g,13x9x0.7 inch
23,Accessory F,23,44$,100,Supplier N,6 months,11/19/2022,11/11/2024,300g,2x2x0.5 inch
24,Headphones E,24,10$,70,Supplier F,12 months,8/4/2022,6/20/2024,200g,8x5x0.5 inch
25,Watch G,25,100$,90,Supplier X,12 months,10/29/2022,11/19/2024,300g,13x9x0.7 inch
26,Accessory F,26,52$,50,Supplier H,3 years,11/6/2022,3/18/2025,100g,2x2x0.5 inch
27,Watch G,27,10$,50,Supplier Y,6 months,9/2/2022,6/7/2024,300g,8x5x0.5 inch
28,Printer H,28,52$,200,Supplier I,12 months,2/15/2022,7/19/2024,650g,5x2x0.3 inch
29,Laptop C,29,212$,30,Supplier G,18 months,6/15/2022,9/18/2024,200g,6x5x2 inch
30,SIM Y,30,39$,50,Supplier X,18 months,1/29/2022,11/23/2024,650g,8x5x0.5 inch
31,Printer H,31,531$,40,Supplier C,1 year,9/10/2022,10/11/2024,300g,13x9x0.7 inch
